PolyDegree,ScalarValue,Operation,OpTime(us),EncTimeA(us),EncTimeB(us),DecTime(us),Memory(KB)
128,1,PT+PT Add,13,264,302,0,68988
128,1,PT*PT Mul,10,264,302,0,68988
128,1,CT+PT Add,75,264,302,206,68988
128,1,CT*PT Mul,72,264,302,149,68988
128,1,CT+CT Add,28,264,302,159,68988
128,1,CT*CT Mul,944,264,302,205,68988
128,10,PT+PT Add,11,233,203,0,68988
128,10,PT*PT Mul,9,233,203,0,68988
128,10,CT+PT Add,70,233,203,167,68988
128,10,CT*PT Mul,68,233,203,143,68988
128,10,CT+CT Add,28,233,203,136,68988
128,10,CT*CT Mul,917,233,203,200,68988
128,100,PT+PT Add,7,145,135,0,68988
128,100,PT*PT Mul,6,145,135,0,68988
128,100,CT+PT Add,47,145,135,102,68988
128,100,CT*PT Mul,46,145,135,93,68988
128,100,CT+CT Add,18,145,135,89,68988
128,100,CT*CT Mul,600,145,135,128,68988
128,1000,PT+PT Add,5,124,115,0,68988
128,1000,PT*PT Mul,5,124,115,0,68988
128,1000,CT+PT Add,40,124,115,95,68988
128,1000,CT*PT Mul,39,124,115,81,68988
128,1000,CT+CT Add,15,124,115,78,68988
128,1000,CT*CT Mul,501,124,115,108,68988
128,10000,PT+PT Add,5,117,102,0,68988
128,10000,PT*PT Mul,4,117,102,0,68988
128,10000,CT+PT Add,35,117,102,77,68988
128,10000,CT*PT Mul,34,117,102,71,68988
128,10000,CT+CT Add,14,117,102,68,68988
128,10000,CT*CT Mul,456,117,102,96,68988
128,100000,PT+PT Add,4,101,97,0,68988
128,100000,PT*PT Mul,4,101,97,0,68988
128,100000,CT+PT Add,31,101,97,69,68988
128,100000,CT*PT Mul,30,101,97,63,68988
128,100000,CT+CT Add,12,101,97,59,68988
128,100000,CT*CT Mul,395,101,97,84,68988
256,1,PT+PT Add,6,126,133,0,68988
256,1,PT*PT Mul,5,126,133,0,68988
256,1,CT+PT Add,45,126,133,119,68988
256,1,CT*PT Mul,44,126,133,107,68988
256,1,CT+CT Add,15,126,133,102,68988
256,1,CT*CT Mul,529,126,133,138,68988
256,10,PT+PT Add,5,147,109,0,68988
256,10,PT*PT Mul,4,147,109,0,68988
