poly_degree,vec_size,experiment,operation,combination,enc_time_ms,dec_time_ms,op_time_ms,memory_kb
128,1000,vector,add,pt+pt,0,0,0.010175,69004
128,1000,vector,mul,pt*pt,0,0,0.010954,69004
128,1000,vector,add,ct+ct,0.269161,0.199045,0.021138,69004
128,1000,vector,mul,ct*ct,0.269161,0.199045,0.586414,69004
128,1000,vector,add,pt+ct,0.126492,0.11068,0.044304,69004
128,1000,vector,mul,pt*ct,0.126492,0.11068,0.036787,69004
128,10000,vector,add,pt+pt,0,0,0.009011,69004
128,10000,vector,mul,pt*pt,0,0,0.009032,69004
128,10000,vector,add,ct+ct,0.257786,0.162014,0.018727,69004
128,10000,vector,mul,ct*ct,0.257786,0.162014,0.563324,69004
128,10000,vector,add,pt+ct,0.124964,0.086724,0.037821,69004
128,10000,vector,mul,pt*ct,0.124964,0.086724,0.034101,69004
128,100000,vector,add,pt+pt,0,0,0.008994,69004
128,100000,vector,mul,pt*pt,0,0,0.008975,69004
128,100000,vector,add,ct+ct,0.276559,0.161982,0.019427,69004
128,100000,vector,mul,ct*ct,0.276559,0.161982,0.555137,69004
128,100000,vector,add,pt+ct,0.153588,0.086634,0.037184,69004
128,100000,vector,mul,pt*ct,0.153588,0.086634,0.03382,69004
128,1000000,vector,add,pt+pt,0,0,0.008879,69004
128,1000000,vector,mul,pt*pt,0,0,0.009075,69004
128,1000000,vector,add,ct+ct,0.244286,0.160135,0.018915,69004
128,1000000,vector,mul,ct*ct,0.244286,0.160135,0.56077,69004
128,1000000,vector,add,pt+ct,0.121316,0.086149,0.037582,69004
128,1000000,vector,mul,pt*ct,0.121316,0.086149,0.033468,69004
256,1000,vector,add,pt+pt,0,0,0.011286,69004
256,1000,vector,mul,pt*pt,0,0,0.009629,69004
256,1000,vector,add,ct+ct,0.285952,0.249063,0.0218,69004
256,1000,vector,mul,ct*ct,0.285952,0.249063,0.723129,69004
256,1000,vector,add,pt+ct,0.147125,0.133219,0.052887,69004
256,1000,vector,mul,pt*ct,0.147125,0.133219,0.049736,69004
256,10000,vector,add,pt+pt,0,0,0.010991,69004
256,10000,vector,mul,pt*pt,0,0,0.009256,69004
256,10000,vector,add,ct+ct,0.305894,0.226853,0.021346,69004
256,10000,vector,mul,ct*ct,0.305894,0.226853,0.963638,69004
256,10000,vector,add,pt+ct,0.160907,0.116256,0.05648,69004
256,10000,vector,mul,pt*ct,0.160907,0.116256,0.05005,69004
256,100000,vector,add,pt+pt,0,0,0.010816,69004
256,100000,vector,mul,pt*pt,0,0,0.009347,69004
256,100000,vector,add,ct+ct,0.285398,0.242628,0.021989,69004
256,100000,vector,mul,ct*ct,0.285398,0.242628,0.619795,69004
256,100000,vector,add,pt+ct,0.14613,0.117691,0.045362,69004
256,100000,vector,mul,pt*ct,0.14613,0.117691,0.0432,69004
256,1000000,vector,add,pt+pt,0,0,0.009961,69004
256,1000000,vector,mul,pt*pt,0,0,0.008298,69004
256,1000000,vector,add,ct+ct,0.259962,0.199778,0.019191,69004
256,1000000,vector,mul,ct*ct,0.259962,0.199778,0.59096,69004
256,1000000,vector,add,pt+ct,0.136756,0.101942,0.045766,69004
256,1000000,vector,mul,pt*ct,0.136756,0.101942,0.043042,69004
512,1000,vector,add,pt+pt,0,0,0.010637,69004
512,1000,vector,mul,pt*pt,0,0,0.008647,69004
512,1000,vector,add,ct+ct,0.41479,0.288709,0.020125,69004
512,1000,vector,mul,ct*ct,0.41479,0.288709,0.80508,69004
512,1000,vector,add,pt+ct,0.186588,0.153467,0.063912,69004
512,1000,vector,mul,pt*ct,0.186588,0.153467,0.063189,69004
512,10000,vector,add,pt+pt,0,0,0.010409,69004
512,10000,vector,mul,pt*pt,0,0,0.027969,69004
512,10000,vector,add,ct+ct,0.341929,0.269686,0.03296,69004
512,10000,vector,mul,ct*ct,0.341929,0.269686,0.749279,69004
512,10000,vector,add,pt+ct,0.185331,0.137076,0.063093,69004
512,10000,vector,mul,pt*ct,0.185331,0.137076,0.063096,69004
512,100000,vector,add,pt+pt,0,0,0.010654,69004
512,100000,vector,mul,pt*pt,0,0,0.008501,69004
512,100000,vector,add,ct+ct,0.391166,0.268872,0.019845,69004
512,100000,vector,mul,ct*ct,0.391166,0.268872,0.748287,69004
512,100000,vector,add,pt+ct,0.210802,0.136435,0.063346,69004
512,100000,vector,mul,pt*ct,0.210802,0.136435,0.063574,69004
512,1000000,vector,add,pt+pt,0,0,0.010792,69004
512,1000000,vector,mul,pt*pt,0,0,0.008651,69004
512,1000000,vector,add,ct+ct,0.41903,0.268435,0.019666,69004
512,1000000,vector,mul,ct*ct,0.41903,0.268435,0.778081,69004
512,1000000,vector,add,pt+ct,0.234007,0.135588,0.063475,69004
512,1000000,vector,mul,pt*ct,0.234007,0.135588,0.062998,69004
1024,1000,vector,add,pt+pt,0,0,0.017125,69004
1024,1000,vector,mul,pt*pt,0,0,0.012978,69004
1024,1000,vector,add,ct+ct,0.650783,0.528869,0.030752,69004
1024,1000,vector,mul,ct*ct,0.650783,0.528869,1.53545,69004
1024,1000,vector,add,pt+ct,0.303957,0.280337,0.106154,69004
1024,1000,vector,mul,pt*ct,0.303957,0.280337,0.109699,69004
1024,10000,vector,add,pt+pt,0,0,0.016141,69004
1024,10000,vector,mul,pt*pt,0,0,0.01259,69004
1024,10000,vector,add,ct+ct,0.742589,0.499912,0.030169,69004
1024,10000,vector,mul,ct*ct,0.742589,0.499912,1.47747,69004
1024,10000,vector,add,pt+ct,0.401485,0.250149,0.104762,69004
1024,10000,vector,mul,pt*ct,0.401485,0.250149,0.109012,69004
1024,100000,vector,add,pt+pt,0,0,0.016333,69004
1024,100000,vector,mul,pt*pt,0,0,0.012672,69004
1024,100000,vector,add,ct+ct,0.689038,0.531569,0.030351,69004
1024,100000,vector,mul,ct*ct,0.689038,0.531569,1.53188,69004
1024,100000,vector,add,pt+ct,0.348141,0.28508,0.11127,69004
1024,100000,vector,mul,pt*ct,0.348141,0.28508,0.109853,69004
1024,1000000,vector,add,pt+pt,0,0,0.016074,69004
1024,1000000,vector,mul,pt*pt,0,0,0.012375,69004
1024,1000000,vector,add,ct+ct,0.838466,0.50975,0.030518,69004
1024,1000000,vector,mul,ct*ct,0.838466,0.50975,1.46666,69004
1024,1000000,vector,add,pt+ct,0.443085,0.248692,0.106003,69004
1024,1000000,vector,mul,pt*ct,0.443085,0.248692,0.109159,69004
2048,1000,vector,add,pt+pt,0,0,0.026966,69004
2048,1000,vector,mul,pt*pt,0,0,0.020451,69004
2048,1000,vector,add,ct+ct,1.69452,1.01106,0.050516,69004
2048,1000,vector,mul,ct*ct,1.69452,1.01106,2.98321,69004
2048,1000,vector,add,pt+ct,0.7047,0.529966,0.22007,69004
2048,1000,vector,mul,pt*ct,0.7047,0.529966,0.229893,69004
2048,10000,vector,add,pt+pt,0,0,0.026254,69004
2048,10000,vector,mul,pt*pt,0,0,0.019757,69004
2048,10000,vector,add,ct+ct,1.2026,0.945833,0.049718,69004
2048,10000,vector,mul,ct*ct,1.2026,0.945833,2.81211,69004
2048,10000,vector,add,pt+ct,0.59845,0.473361,0.217621,69004
2048,10000,vector,mul,pt*ct,0.59845,0.473361,0.22924,69004
2048,100000,vector,add,pt+pt,0,0,0.026088,69004
2048,100000,vector,mul,pt*pt,0,0,0.019774,69004
2048,100000,vector,add,ct+ct,1.3052,0.971747,0.090039,69004
2048,100000,vector,mul,ct*ct,1.3052,0.971747,2.78414,69004
2048,100000,vector,add,pt+ct,0.700409,0.483352,0.216882,69004
2048,100000,vector,mul,pt*ct,0.700409,0.483352,0.228643,69004
2048,1000000,vector,add,pt+pt,0,0,0.02528,69004
2048,1000000,vector,mul,pt*pt,0,0,0.019435,69004
2048,1000000,vector,add,ct+ct,1.21247,0.993853,0.048639,69004
2048,1000000,vector,mul,ct*ct,1.21247,0.993853,2.73277,69004
2048,1000000,vector,add,pt+ct,0.608742,0.480641,0.215074,69004
2048,1000000,vector,mul,pt*ct,0.608742,0.480641,0.223118,69004
4096,1000,vector,add,pt+pt,0,0,0.046743,69004
4096,1000,vector,mul,pt*pt,0,0,0.035355,69004
4096,1000,vector,add,ct+ct,2.35984,1.95317,0.089235,69004
4096,1000,vector,mul,ct*ct,2.35984,1.95317,5.66797,69004
4096,1000,vector,add,pt+ct,1.08621,1.02197,0.374437,69004
4096,1000,vector,mul,pt*ct,1.08621,1.02197,0.432818,69004
4096,10000,vector,add,pt+pt,0,0,0.046021,69004
4096,10000,vector,mul,pt*pt,0,0,0.034645,69004
4096,10000,vector,add,ct+ct,2.52928,1.92615,0.098919,69004
4096,10000,vector,mul,ct*ct,2.52928,1.92615,6.08708,69004
4096,10000,vector,add,pt+ct,1.26539,0.990023,0.470554,69004
4096,10000,vector,mul,pt*ct,1.26539,0.990023,0.412244,69004
4096,100000,vector,add,pt+pt,0,0,0.035724,69004
4096,100000,vector,mul,pt*pt,0,0,0.034911,69004
4096,100000,vector,add,ct+ct,2.90475,1.98042,0.089885,69004
4096,100000,vector,mul,ct*ct,2.90475,1.98042,5.73316,69004
4096,100000,vector,add,pt+ct,1.37685,1.01488,0.327446,69004
4096,100000,vector,mul,pt*ct,1.37685,1.01488,0.503771,69004
4096,1000000,vector,add,pt+pt,0,0,0.035489,69004
4096,1000000,vector,mul,pt*pt,0,0,0.034935,69004
4096,1000000,vector,add,ct+ct,2.46105,1.95904,0.089041,69004
4096,1000000,vector,mul,ct*ct,2.46105,1.95904,5.56119,69004
4096,1000000,vector,add,pt+ct,1.10985,0.994586,0.343653,69004
4096,1000000,vector,mul,pt*ct,1.10985,0.994586,0.383581,69004
