PolyDegree,ScalarValue,Operation,OpTime(us),EncTimeA(us),EncTimeB(us),DecTime(us),Memory(KB)
128,1,PT+PT Add,4,82,70,0,69004
128,1,PT*PT Mul,4,82,70,0,69004
128,1,CT+PT Add,26,82,70,74,69004
128,1,CT*PT Mul,23,82,70,53,69004
128,1,CT+CT Add,11,82,70,61,69004
128,1,CT*CT Mul,288,82,70,69,69004
128,10,PT+PT Add,4,76,76,0,69004
128,10,PT*PT Mul,3,76,76,0,69004
128,10,CT+PT Add,25,76,76,56,69004
128,10,CT*PT Mul,22,76,76,50,69004
128,10,CT+CT Add,10,76,76,48,69004
128,10,CT*CT Mul,288,76,76,65,69004
128,100,PT+PT Add,4,76,76,0,69004
128,100,PT*PT Mul,3,76,76,0,69004
128,100,CT+PT Add,25,76,76,56,69004
128,100,CT*PT Mul,22,76,76,50,69004
128,100,CT+CT Add,9,76,76,48,69004
128,100,CT*CT Mul,301,76,76,67,69004
128,1000,PT+PT Add,4,74,74,0,69004
128,1000,PT*PT Mul,3,74,74,0,69004
128,1000,CT+PT Add,24,74,74,75,69004
128,1000,CT*PT Mul,22,74,74,50,69004
128,1000,CT+CT Add,9,74,74,47,69004
128,1000,CT*CT Mul,278,74,74,64,69004
128,10000,PT+PT Add,4,79,75,0,69004
128,10000,PT*PT Mul,3,79,75,0,69004
128,10000,CT+PT Add,23,79,75,55,69004
128,10000,CT*PT Mul,22,79,75,50,69004
128,10000,CT+CT Add,10,79,75,47,69004
128,10000,CT*CT Mul,281,79,75,72,69004
128,100000,PT+PT Add,4,80,74,0,69004
128,100000,PT*PT Mul,3,80,74,0,69004
128,100000,CT+PT Add,24,80,74,56,69004
128,100000,CT*PT Mul,21,80,74,49,69004
128,100000,CT+CT Add,9,80,74,47,69004
128,100000,CT*CT Mul,308,80,74,64,69004
256,1,PT+PT Add,5,107,98,0,69004
256,1,PT*PT Mul,4,107,98,0,69004
256,1,CT+PT Add,39,107,98,108,69004
256,1,CT*PT Mul,35,107,98,96,69004
256,1,CT+CT Add,14,107,98,90,69004
256,1,CT*CT Mul,404,107,98,116,69004
256,10,PT+PT Add,5,125,96,0,69004
256,10,PT*PT Mul,4,125,96,0,69004
