poly_degree,vec_size,experiment,operation,combination,enc_time_ms,dec_time_ms,op_time_ms,memory_kb
128,1000,vector,add,pt+pt,0,0,0.007101,69016
128,1000,vector,mul,pt*pt,0,0,0.006869,69016
128,1000,vector,add,ct+ct,0.141451,0.116229,0.01371,69016
128,1000,vector,mul,ct*ct,0.141451,0.116229,0.307713,69016
128,1000,vector,add,pt+ct,0.077283,0.068801,0.023589,69016
128,1000,vector,mul,pt*ct,0.077283,0.068801,0.020029,69016
128,10000,vector,add,pt+pt,0,0,0.005835,69016
128,10000,vector,mul,pt*pt,0,0,0.005776,69016
128,10000,vector,add,ct+ct,0.134392,0.092899,0.011309,69016
128,10000,vector,mul,ct*ct,0.134392,0.092899,0.279994,69016
128,10000,vector,add,pt+ct,0.070289,0.049903,0.021833,69016
128,10000,vector,mul,pt*ct,0.070289,0.049903,0.018406,69016
128,100000,vector,add,pt+pt,0,0,0.005819,69016
128,100000,vector,mul,pt*pt,0,0,0.005707,69016
128,100000,vector,add,ct+ct,0.134415,0.093033,0.011463,69016
128,100000,vector,mul,ct*ct,0.134415,0.093033,0.28533,69016
128,100000,vector,add,pt+ct,0.070668,0.049425,0.021994,69016
128,100000,vector,mul,pt*ct,0.070668,0.049425,0.018159,69016
128,1000000,vector,add,pt+pt,0,0,0.0058,69016
128,1000000,vector,mul,pt*pt,0,0,0.00568,69016
128,1000000,vector,add,ct+ct,0.160279,0.091917,0.011307,69016
128,1000000,vector,mul,ct*ct,0.160279,0.091917,0.294839,69016
128,1000000,vector,add,pt+ct,0.07048,0.048897,0.022737,69016
128,1000000,vector,mul,pt*ct,0.07048,0.048897,0.018276,69016
256,1000,vector,add,pt+pt,0,0,0.029556,69016
256,1000,vector,mul,pt*pt,0,0,0.007245,69016
256,1000,vector,add,ct+ct,0.183007,0.159705,0.027539,69016
256,1000,vector,mul,ct*ct,0.183007,0.159705,0.4071,69016
256,1000,vector,add,pt+ct,0.094365,0.088581,0.035369,69016
256,1000,vector,mul,pt*ct,0.094365,0.088581,0.030626,69016
