Operation,Memory(KB),PolyModulusDegree,Scalar1,Scalar2,EncryptionTime(ms),OperationTime(ms),DecryptionTime(ms)
Cipher+Cipher,69680,1024,1,1,0.713455,0.016272,0.118467
Cipher*Cipher,69680,1024,1,1,0.713455,1.13305,0.128677
Cipher+Plain,69680,1024,1,1,0.713455,0.026038,0.082815
Cipher*Plain,69680,1024,1,1,0.713455,0.087939,0.082481
Plain+Cipher,69680,1024,1,1,0.713455,0.025889,0.083326
Plain*Cipher,69680,1024,1,1,0.713455,0.092069,0.082957
Cipher+Cipher,69680,1024,1,7,0.744575,0.005734,0.084437
Cipher*Cipher,69680,1024,1,7,0.744575,0.924945,0.105781
Cipher+Plain,69680,1024,1,7,0.744575,0.02568,0.082633
Cipher*Plain,69680,1024,1,7,0.744575,0.083193,0.082139
Plain+Cipher,69680,1024,1,7,0.744575,0.026045,0.083155
Plain*Cipher,69680,1024,1,7,0.744575,0.081996,0.082756
Cipher+Cipher,69680,1024,1,42,0.733712,0.005949,0.084054
Cipher*Cipher,69680,1024,1,42,0.733712,0.923797,0.10418
Cipher+Plain,69680,1024,1,42,0.733712,0.025465,0.083474
Cipher*Plain,69680,1024,1,42,0.733712,0.089268,0.082553
Plain+Cipher,69680,1024,1,42,0.733712,0.025334,0.084074
Plain*Cipher,69680,1024,1,42,0.733712,0.083554,0.083586
Cipher+Cipher,69680,1024,1,12345,0.732342,0.004908,0.083409
Cipher*Cipher,69680,1024,1,12345,0.732342,0.924687,0.104663
Cipher+Plain,69680,1024,1,12345,0.732342,0.025394,0.083743
Cipher*Plain,69680,1024,1,12345,0.732342,0.083173,0.082522
Plain+Cipher,69680,1024,1,12345,0.732342,0.025439,0.083724
Plain*Cipher,69680,1024,1,12345,0.732342,0.08303,0.083033
Cipher+Cipher,69680,1024,1,65536,0.73463,0.005473,0.082529
Cipher*Cipher,69680,1024,1,65536,0.73463,0.925107,0.10595
Cipher+Plain,69680,1024,1,65536,0.73463,0.025451,0.082109
Cipher*Plain,69680,1024,1,65536,0.73463,0.082333,0.086594
Plain+Cipher,69680,1024,1,65536,0.73463,0.026044,0.083239
Plain*Cipher,69680,1024,1,65536,0.73463,0.083584,0.083002
Cipher+Cipher,69680,1024,7,1,0.732992,0.004316,0.083701
Cipher*Cipher,69680,1024,7,1,0.732992,0.93867,0.103875
Cipher+Plain,69680,1024,7,1,0.732992,0.024681,0.079797
Cipher*Plain,69680,1024,7,1,0.732992,0.081212,0.081775
Plain+Cipher,69680,1024,7,1,0.732992,0.024776,0.079636
Plain*Cipher,69680,1024,7,1,0.732992,0.081211,0.081717
Cipher+Cipher,69680,1024,7,7,0.740486,0.004966,0.081965
Cipher*Cipher,69680,1024,7,7,0.740486,0.897951,0.060556
Cipher+Plain,69680,1024,7,7,0.740486,0.014833,0.044527
Cipher*Plain,69680,1024,7,7,0.740486,0.070892,0.043108
Plain+Cipher,69680,1024,7,7,0.740486,0.014432,0.043311
Plain*Cipher,69680,1024,7,7,0.740486,0.055967,0.043083
Cipher+Cipher,69680,1024,7,42,0.355417,0.00327,0.043837
Cipher*Cipher,69680,1024,7,42,0.355417,0.463285,0.058738
Cipher+Plain,69680,1024,7,42,0.355417,0.014419,0.048145
Cipher*Plain,69680,1024,7,42,0.355417,0.084675,0.043148
