Operation,Memory(KB),PolyModulusDegree,VectorSize,EncryptionTime(ms),OperationTime(ms),DecryptionTime(ms)
Cipher+Cipher,68608,1024,1000,0.442109,0.010139,0.08173
Cipher*Cipher,68608,1024,1000,0.442109,0.7005,0.084794
Cipher+Plain,68608,1024,1000,0.442109,0.017665,0.056609
Plain+Cipher,68608,1024,1000,0.442109,0.017252,0.056282
Cipher*Plain,68608,1024,1000,0.442109,0.062184,0.05605
Plain*Cipher,68608,1024,1000,0.442109,0.069403,0.055963
Cipher+Cipher,68608,2048,1000,0.806597,0.018443,0.162799
Cipher*Cipher,68608,2048,1000,0.806597,1.38882,0.17162
Cipher+Plain,68608,2048,1000,0.806597,0.034732,0.115486
Plain+Cipher,68608,2048,1000,0.806597,0.034395,0.115265
Cipher*Plain,68608,2048,1000,0.806597,0.13149,0.114814
Plain*Cipher,68608,2048,1000,0.806597,0.150304,0.114927
Cipher+Cipher,68608,4096,1000,2.36901,0.060096,0.389666
Cipher*Cipher,68608,4096,1000,2.36901,4.09968,0.594912
Cipher+Plain,68608,4096,1000,2.36901,0.074226,0.310515
Plain+Cipher,68608,4096,1000,2.36901,0.073681,0.313207
Cipher*Plain,68608,4096,1000,2.36901,0.456499,0.329446
Plain*Cipher,68608,4096,1000,2.36901,0.5164,0.353077
Cipher+Cipher,68608,8192,1000,6.96235,0.251477,1.37264
Cipher*Cipher,68608,8192,1000,6.96235,15.2266,2.24895
Cipher+Plain,68608,8192,1000,6.96235,0.281585,1.15149
Plain+Cipher,68608,8192,1000,6.96235,0.279301,1.15404
Cipher*Plain,68608,8192,1000,6.96235,2.21958,1.1398
Plain*Cipher,68608,8192,1000,6.96235,2.20953,1.14223
Cipher+Cipher,138924,16384,1000,23.0652,1.12276,5.31813
Cipher*Cipher,165932,16384,1000,23.0652,64.0911,9.00101
Cipher+Plain,165932,16384,1000,23.0652,1.04485,4.52375
Plain+Cipher,165932,16384,1000,23.0652,1.06273,4.59084
Cipher*Plain,167980,16384,1000,23.0652,9.34891,4.61053
Plain*Cipher,170028,16384,1000,23.0652,9.34561,4.60976
Cipher+Cipher,171180,16384,10000,20.7776,0.363299,4.66966
Cipher*Cipher,171180,16384,10000,20.7776,55.9701,7.09853
Cipher+Plain,171180,16384,10000,20.7776,1.02758,4.6357
Plain+Cipher,171180,16384,10000,20.7776,1.1079,4.5352
Cipher*Plain,171180,16384,10000,20.7776,9.34654,4.8808
Plain*Cipher,171180,16384,10000,20.7776,9.29353,4.83882
Cipher+Cipher,624992,32768,1000,95.4541,6.49576,22.1247
Cipher*Cipher,723808,32768,1000,95.4541,289.666,35.9229
Cipher+Plain,723808,32768,1000,95.4541,5.1085,19.3132
Plain+Cipher,723808,32768,1000,95.4541,5.07001,19.4458
Cipher*Plain,731488,32768,1000,95.4541,38.368,18.9454
Plain*Cipher,739168,32768,1000,95.4541,38.0069,19.0539
Cipher+Cipher,743264,32768,10000,85.4919,3.41798,19.3453
Cipher*Cipher,743264,32768,10000,85.4919,256.831,28.7718
Cipher+Plain,743264,32768,10000,85.4919,5.24807,19.3472
Plain+Cipher,743264,32768,10000,85.4919,5.21299,19.415
Cipher*Plain,743264,32768,10000,85.4919,35.4838,18.9264
Plain*Cipher,743264,32768,10000,85.4919,35.2189,19.4277
