Operation,Memory(KB),PolyModulusDegree,Scalar1,Scalar2,EncryptionTime(ms),OperationTime(ms),DecryptionTime(ms)
Cipher+Cipher,68608,1024,1,1,0.398453,0.010124,0.120188
Cipher*Cipher,68608,1024,1,1,0.398453,0.748104,0.081322
Cipher+Plain,68608,1024,1,1,0.398453,0.016352,0.056835
Cipher*Plain,68608,1024,1,1,0.398453,0.05779,0.051718
Plain+Cipher,68608,1024,1,1,0.398453,0.01608,0.051953
Plain*Cipher,68608,1024,1,1,0.398453,0.075274,0.052013
Cipher+Cipher,68608,1024,1,7,0.38662,0.002021,0.052241
Cipher*Cipher,68608,1024,1,7,0.38662,0.523224,0.065361
Cipher+Plain,68608,1024,1,7,0.38662,0.015874,0.051595
Cipher*Plain,68608,1024,1,7,0.38662,0.056738,0.051499
Plain+Cipher,68608,1024,1,7,0.38662,0.015728,0.051708
Plain*Cipher,68608,1024,1,7,0.38662,0.056543,0.051393
Cipher+Cipher,68608,1024,1,42,0.380179,0.001914,0.052013
Cipher*Cipher,68608,1024,1,42,0.380179,0.517329,0.065326
Cipher+Plain,68608,1024,1,42,0.380179,0.015781,0.051662
Cipher*Plain,68608,1024,1,42,0.380179,0.056656,0.051554
Plain+Cipher,68608,1024,1,42,0.380179,0.015679,0.05549
Plain*Cipher,68608,1024,1,42,0.380179,0.056668,0.051395
Cipher+Cipher,68608,1024,1,12345,0.375371,0.001795,0.05222
Cipher*Cipher,68608,1024,1,12345,0.375371,0.521227,0.065571
Cipher+Plain,68608,1024,1,12345,0.375371,0.015932,0.05173
Cipher*Plain,68608,1024,1,12345,0.375371,0.056715,0.051524
Plain+Cipher,68608,1024,1,12345,0.375371,0.015741,0.051833
Plain*Cipher,68608,1024,1,12345,0.375371,0.056414,0.051477
Cipher+Cipher,68608,1024,1,65536,0.375117,0.00177,0.055592
Cipher*Cipher,68608,1024,1,65536,0.375117,0.707614,0.095712
Cipher+Plain,68608,1024,1,65536,0.375117,0.023425,0.082257
Cipher*Plain,68608,1024,1,65536,0.375117,0.05988,0.058771
Plain+Cipher,68608,1024,1,65536,0.375117,0.015915,0.051814
Plain*Cipher,68608,1024,1,65536,0.375117,0.056479,0.05165
Cipher+Cipher,68608,1024,7,1,0.378861,0.001887,0.052145
Cipher*Cipher,68608,1024,7,1,0.378861,0.523309,0.065433
Cipher+Plain,68608,1024,7,1,0.378861,0.015934,0.051687
Cipher*Plain,68608,1024,7,1,0.378861,0.056582,0.051661
Plain+Cipher,68608,1024,7,1,0.378861,0.015723,0.051665
Plain*Cipher,68608,1024,7,1,0.378861,0.056407,0.051629
Cipher+Cipher,68608,1024,7,7,0.380703,0.001895,0.052062
Cipher*Cipher,68608,1024,7,7,0.380703,0.517492,0.065549
Cipher+Plain,68608,1024,7,7,0.380703,0.015885,0.0517
Cipher*Plain,68608,1024,7,7,0.380703,0.056556,0.051396
Plain+Cipher,68608,1024,7,7,0.380703,0.015654,0.051911
Plain*Cipher,68608,1024,7,7,0.380703,0.056001,0.056459
Cipher+Cipher,68608,1024,7,42,0.373942,0.001831,0.051784
Cipher*Cipher,68608,1024,7,42,0.373942,0.52036,0.065194
Cipher+Plain,68608,1024,7,42,0.373942,0.015828,0.051751
Cipher*Plain,68608,1024,7,42,0.373942,0.056684,0.051458
Plain+Cipher,68608,1024,7,42,0.373942,0.015726,0.05169
Plain*Cipher,68608,1024,7,42,0.373942,0.056382,0.051432
Cipher+Cipher,68608,1024,7,12345,0.373605,0.001775,0.051965
Cipher*Cipher,68608,1024,7,12345,0.373605,0.521621,0.065376
Cipher+Plain,68608,1024,7,12345,0.373605,0.015878,0.051622
Cipher*Plain,68608,1024,7,12345,0.373605,0.056478,0.051606
Plain+Cipher,68608,1024,7,12345,0.373605,0.015723,0.051673
Plain*Cipher,68608,1024,7,12345,0.373605,0.056278,0.051517
Cipher+Cipher,68608,1024,7,65536,0.37794,0.001784,0.051793
Cipher*Cipher,68608,1024,7,65536,0.37794,0.517248,0.065246
Cipher+Plain,68608,1024,7,65536,0.37794,0.015882,0.05169
Cipher*Plain,68608,1024,7,65536,0.37794,0.060898,0.051669
Plain+Cipher,68608,1024,7,65536,0.37794,0.015788,0.051857
Plain*Cipher,68608,1024,7,65536,0.37794,0.056563,0.051599
Cipher+Cipher,68608,1024,42,1,0.373584,0.001755,0.051972
Cipher*Cipher,68608,1024,42,1,0.373584,0.52215,0.065242
Cipher+Plain,68608,1024,42,1,0.373584,0.015866,0.051684
Cipher*Plain,68608,1024,42,1,0.373584,0.056592,0.051465
Plain+Cipher,68608,1024,42,1,0.373584,0.015672,0.051687
Plain*Cipher,68608,1024,42,1,0.373584,0.056436,0.051638
Cipher+Cipher,68608,1024,42,7,0.380566,0.00168,0.046841
Cipher*Cipher,68608,1024,42,7,0.380566,0.467591,0.059068
Cipher+Plain,68608,1024,42,7,0.380566,0.014349,0.04677
Cipher*Plain,68608,1024,42,7,0.380566,0.051201,0.046646
Plain+Cipher,68608,1024,42,7,0.380566,0.01428,0.046739
Plain*Cipher,68608,1024,42,7,0.380566,0.050996,0.046685
Cipher+Cipher,68608,1024,42,42,0.340633,0.001655,0.047139
Cipher*Cipher,68608,1024,42,42,0.340633,0.467636,0.058932
Cipher+Plain,68608,1024,42,42,0.340633,0.014293,0.046744
Cipher*Plain,68608,1024,42,42,0.340633,0.054069,0.046704
Plain+Cipher,68608,1024,42,42,0.340633,0.014308,0.046845
Plain*Cipher,68608,1024,42,42,0.340633,0.050938,0.046525
Cipher+Cipher,68608,1024,42,12345,0.33867,0.001623,0.047022
Cipher*Cipher,68608,1024,42,12345,0.33867,0.470964,0.059163
Cipher+Plain,68608,1024,42,12345,0.33867,0.014344,0.046947
Cipher*Plain,68608,1024,42,12345,0.33867,0.051149,0.046431
Plain+Cipher,68608,1024,42,12345,0.33867,0.014283,0.046627
Plain*Cipher,68608,1024,42,12345,0.33867,0.050938,0.046467
Cipher+Cipher,68608,1024,42,65536,0.338369,0.001611,0.047228
Cipher*Cipher,68608,1024,42,65536,0.338369,0.471402,0.059006
Cipher+Plain,68608,1024,42,65536,0.338369,0.014322,0.046999
Cipher*Plain,68608,1024,42,65536,0.338369,0.051247,0.046539
Plain+Cipher,68608,1024,42,65536,0.338369,0.014161,0.046807
Plain*Cipher,68608,1024,42,65536,0.338369,0.050934,0.046373
Cipher+Cipher,68608,1024,12345,1,0.341763,0.001647,0.047002
Cipher*Cipher,68608,1024,12345,1,0.341763,0.467963,0.059077
Cipher+Plain,68608,1024,12345,1,0.341763,0.014298,0.046764
Cipher*Plain,68608,1024,12345,1,0.341763,0.051177,0.046713
Plain+Cipher,68608,1024,12345,1,0.341763,0.01423,0.046817
Plain*Cipher,68608,1024,12345,1,0.341763,0.051008,0.049688
Cipher+Cipher,68608,1024,12345,7,0.338588,0.001592,0.04688
Cipher*Cipher,68608,1024,12345,7,0.338588,0.467931,0.089881
Cipher+Plain,68608,1024,12345,7,0.338588,0.014217,0.046725
Cipher*Plain,68608,1024,12345,7,0.338588,0.051158,0.046649
Plain+Cipher,68608,1024,12345,7,0.338588,0.014206,0.046987
Plain*Cipher,68608,1024,12345,7,0.338588,0.050938,0.046778
Cipher+Cipher,68608,1024,12345,42,0.337996,0.00159,0.047109
Cipher*Cipher,68608,1024,12345,42,0.337996,0.470619,0.059219
Cipher+Plain,68608,1024,12345,42,0.337996,0.014273,0.046777
Cipher*Plain,68608,1024,12345,42,0.337996,0.051357,0.046768
Plain+Cipher,68608,1024,12345,42,0.337996,0.014149,0.04675
Plain*Cipher,68608,1024,12345,42,0.337996,0.050827,0.046771
Cipher+Cipher,68608,1024,12345,12345,0.338527,0.00157,0.049868
Cipher*Cipher,68608,1024,12345,12345,0.338527,0.46784,0.05911
Cipher+Plain,68608,1024,12345,12345,0.338527,0.014241,0.046756
Cipher*Plain,68608,1024,12345,12345,0.338527,0.051094,0.046633
Plain+Cipher,68608,1024,12345,12345,0.338527,0.01419,0.046587
Plain*Cipher,68608,1024,12345,12345,0.338527,0.050643,0.046645
Cipher+Cipher,68608,1024,12345,65536,0.341068,0.001643,0.046928
Cipher*Cipher,68608,1024,12345,65536,0.341068,0.467601,0.059125
Cipher+Plain,68608,1024,12345,65536,0.341068,0.014215,0.046979
Cipher*Plain,68608,1024,12345,65536,0.341068,0.05118,0.046601
Plain+Cipher,68608,1024,12345,65536,0.341068,0.014161,0.049537
Plain*Cipher,68608,1024,12345,65536,0.341068,0.050926,0.046698
Cipher+Cipher,68608,1024,65536,1,0.338496,0.00159,0.04698
Cipher*Cipher,68608,1024,65536,1,0.338496,0.471091,0.059105
Cipher+Plain,68608,1024,65536,1,0.338496,0.014253,0.046771
Cipher*Plain,68608,1024,65536,1,0.338496,0.05132,0.046505
Plain+Cipher,68608,1024,65536,1,0.338496,0.014158,0.046832
Plain*Cipher,68608,1024,65536,1,0.338496,0.051043,0.046575
Cipher+Cipher,68608,1024,65536,7,0.33811,0.001625,0.047028
Cipher*Cipher,68608,1024,65536,7,0.33811,0.470669,0.058969
Cipher+Plain,68608,1024,65536,7,0.33811,0.014243,0.046762
Cipher*Plain,68608,1024,65536,7,0.33811,0.051171,0.04678
Plain+Cipher,68608,1024,65536,7,0.33811,0.014128,0.046697
